"id"|"site"|"lon"|"lat"|"x"|"y"|"norm"|"hex"
"1002383"|"Chester"|"-2.893943"|"53.191469"|"0.5892"|"-0.2532"|"72.3776389283"|"#0ebad3"
"1001182"|"Loughor"|"-4.05"|"51.666671"|"0.5947"|"-0.0937"|"72.5078102812"|"#0dbbd3"
"1002318"|"Carmarthen"|"-4.311666"|"51.859165"|"0.6298"|"-0.2417"|"73.3385401874"|"#0dbdd4"
"1000897"|"Newstead"|"-2.6919"|"55.598"|"0.6513"|"-0.2180"|"73.8473918394"|"#0dbed5"
"1001921"|"Kettering"|"-0.716666"|"52.400001"|"0.6609"|"-0.3362"|"74.0746000189"|"#0dbfd5"
"1000627"|"York"|"-1.083333"|"53.96667"|"0.6623"|"-0.3876"|"74.1077345451"|"#0dbfd5"
"1002245"|"Carlisle"|"-2.9439"|"54.891"|"0.6693"|"-0.3006"|"74.273407176"|"#0dbfd5"
"1002527"|"Margidunum"|"-0.957643"|"52.96598"|"0.6767"|"-0.2633"|"74.4485468144"|"#0dc0d6"
"1002303"|"Caistor-by-Norwich"|"1.291995"|"52.582241"|"0.6803"|"-0.4844"|"74.5337498817"|"#0cc0d6"
"1001462"|"Rochester"|"0.49766"|"51.390861"|"0.6876"|"-0.2640"|"74.7065227682"|"#0cc0d6"
"1000595"|"Caersws"|"-3.444389"|"52.5167"|"0.8019"|"-0.4883"|"77.4117201553"|"#0bc7da"
"1000088"|"Caerleon"|"-2.95378"|"51.60952"|"0.8084"|"-0.5661"|"77.5655590268"|"#0bc7da"
"1003524"|"Inchtuthil"|"-3.422952"|"56.541347"|"0.8134"|"-0.6299"|"77.6838966203"|"#0bc8da"
"1002034"|"Binchester"|"-1.676772"|"54.676732"|"0.9050"|"-0.6557"|"79.851841333"|"#0acdde"
"1002001"|"Brecon"|"-3.383332"|"51.95"|"0.9352"|"-0.9354"|"80.5666003976"|"#0acfdf"
"1000713"|"Ilkley"|"-1.816666"|"53.916667"|"0.9437"|"-0.5886"|"80.7677743065"|"#09cfdf"
"1002306"|"Ribchester"|"-2.533333"|"53.799999"|"0.9512"|"-0.8411"|"80.9452806968"|"#09d0df"
"1003419"|"Corbridge"|"-2.01798"|"54.97365"|"0.9924"|"-0.7927"|"81.9203824671"|"#09d2e1"
"1002803"|"Doncaster"|"-1.116666"|"53.533332"|"1.1047"|"-0.9121"|"84.5782448168"|"#08d9e4"
"1000209"|"Rocester"|"-1.833333"|"52.95"|"1.1325"|"-1.3604"|"85.2362018366"|"#07dae5"
"1003470"|"Chesterholm-Vindolanda"|"-2.359504"|"54.991588"|"1.1739"|"-1.1011"|"86.2160371107"|"#07dde7"
"1004203"|"Caerwent"|"-2.766666"|"51.616661"|"1.2427"|"-1.3916"|"87.844362397"|"#06e1e9"
"1000407"|"Holt"|"-2.881"|"53.079"|"1.3353"|"-1.3935"|"90.0359746284"|"#05e6ec"
"1004111"|"Catterick"|"-1.63328"|"54.37542"|"1.3918"|"-1.5209"|"91.3731894348"|"#04eaee"
"1004084"|"Wilderspool"|"-2.586209"|"53.369159"|"1.5491"|"-1.9707"|"95.0960901259"|"#02f3f4"
"1000924"|"Little Chester"|"-1.471779"|"52.933414"|"1.6601"|"-2.0778"|"97.7231847013"|"#01f9f8"
"1002604"|"Manchester"|"-2.23743"|"53.48095"|"1.7563"|"-2.2265"|"100"|"#00fffb"
