Camulodunum;Rusticus;2
Camulodunum;Scotnus;7
Camulodunum;Scottius i;3
Camulodunum;Secundus i;3
Camulodunum;Senicio;4
Camulodunum;Sentrus ii;2
Camulodunum;Tertius iii;3
Camulodunum;Volus;9
Camulodunum;Primus iii;10
Camulodunum;Atepo- (Atepomarus i)?;3
Camulodunum;Masclus i (Masculus);3
Camulodunum;Acutus i;3
Canterbury;Germanus i;5
Canterbury;Ardacus ii;3
Canterbury;Censor i;3
Canterbury;Cosius Rufinus;2
Canterbury;Crestio;4
Canterbury;Dontio;2
Canterbury;Fuscus ii;2
Canterbury;Ingenuus ii;3
Canterbury;Licinus;18
Canterbury;Masclinus;2
Canterbury;Mercator i (Mercatoris)?;2
Canterbury;Modestus i;7
Canterbury;Murranus i;6
Canterbury;Niger ii;13
Canterbury;Passenus (Passienus);11
Canterbury;Patricius i;3
Canterbury;Perrus (Perus);2
Canterbury;Pontus (Pontius)?;2
Canterbury;Sarrutus;3
Canterbury;Severus iii;9
Canterbury;Silvinus ii;2
Canterbury;Tertius iii;2
Canterbury;Virthus;3
Canterbury;Vitalis ii;11
Canterbury;Calvus i;3
Canterbury;Secundus ii;6
Canterbury;Felix i;4
Canterbury;Primus iii;9
Canterbury;L. Cosius Virilis;2
Canterbury;Masclus i (Masculus);5
Canterbury;Acutus i;3
Canterbury;Sabinus iii;2
Canterbury;Logirnus;3
Cardiff;Meddillus (Mesillus);2
Cardiff;Rufinus iii;2
Cardiff;Severus iii;2
Cardiff;Primus iii;3
Cardiff;Sabinus iii;2
Carlisle;Flavius Germanus (L. Flavius Germanus);5
Carlisle;Germanus i;4
Carlisle;Albanus ii;6
Carlisle;Apro (Apro-)?;2
Carlisle;Censor i;2
Carlisle;Coelus ii;4
Carlisle;Cosius Rufinus;2
Carlisle;Cotto ii;3
Carlisle;Crestio;2
Carlisle;Crestus i;8
Carlisle;Firmo ii;2
Carlisle;Frontinus;3
Carlisle;Iucundus iii;3
Carlisle;Iullinus i;2
Carlisle;L. Tr- Masculus;2
Carlisle;Labio;2
Carlisle;Mercator i (Mercatoris)?;4
Carlisle;Mon- i;2
Carlisle;Mont- Cres- (Montius Cres);3
Carlisle;Montanus i;3
Carlisle;Ortius Paullus;3
Carlisle;Patricius i;4
Carlisle;Peregrinus i;2
Carlisle;Perrus (Perus);2
Carlisle;Primulus i;2
Carlisle;Pudens ii;2
Carlisle;Quartus iii;2
Carlisle;Roppus i;2
Carlisle;Rufinus iii;6
Carlisle;Rufus iii;2
Carlisle;Sabinus iv;3
Carlisle;Sarrutus;3
Carlisle;Severus iii;2
Carlisle;Severus iii-Pud(ens)?;2
Carlisle;Silvinus ii;3
Carlisle;Sulpicius;2
Carlisle;Virtus i;3
Carlisle;Vitalis ii;8
Carlisle;Calvus i;13
Carlisle;Biragillus i;2
Carlisle;Secundus ii;6
Carlisle;Primus iii;6
Carlisle;Sabinus iii;4
Carmarthen;Censor i;2
Carmarthen;L. Tr- Masculus;2
Carmarthen;Montanus i;2
Carmarthen;Patricius i;2
Carmarthen;Rufinus iii;2
Carmarthen;Severus iii;3
Carmarthen;Logirnus;2
Castleford;Meddillus (Mesillus);3
Castleford;Albanus ii;2
Castleford;Iucundus iii;3
Castleford;Labio;2
Castleford;Levius (Levus?);2
Castleford;Moi-;2
Castleford;Mommo;3
Castleford;Mont- Cres- (Montius Cres);2
Castleford;Passenus (Passienus);5
Castleford;Patricius i;3
Castleford;Pontus (Pontius)?;4
Castleford;Primulus i;4
Castleford;Quintio i;2
Castleford;Severus iii;5
Castleford;Virtus i;3
Castleford;Calvus i;3
Castleford;Felix i;2
Castleford;Primus iii;3
Castleford;Logirnus;4
Catterick;Flavius Germanus (L. Flavius Germanus);2
Catterick;Censor i;2
Catterick;Cl- Gemma (Claudius Gemma)?;2
Catterick;Cosius Iucundus (A. Co- Iuc-)?;2
Catterick;Iucundus iii;3
Catterick;Mercator i (Mercatoris)?;2
Catterick;Paullus iii;2
Catterick;Virilis ii;2
Catterick;Calvus i;3
Catterick;L. Cosius Virilis;4
Catterick;Sabinus iii;2
Charterhouse-on-Mendip;Crispus iii;2
Charterhouse-on-Mendip;Passenus (Passienus);2
Charterhouse-on-Mendip;Patricius i;2
Chelmsford;Bassus ii;2
Chelmsford;Crestus i;2
Chelmsford;Maccarus i;2
Chelmsford;Niger ii;2
Chelmsford;Passenus (Passienus);3
Chelmsford;Rufinus iii;2
Chelmsford;Severus iii;3
Chelmsford;Primus iii;4
Chester;Germanus i;2
Chester;Albanus ii;4
Chester;Albus i;3
Chester;Apro (Apro-)?;4
Chester;Bionis (Bio)?;3
Chester;C. Iulius Celer (Cicelr- etc.);3
Chester;C. Silvius Patricius;4
Chester;Carantus i;2
Chester;Censor i;6
Chester;Coelus ii;2
Chester;Cosius Iucundus (A. Co- Iuc-)?;3
Chester;Cosius Rufinus;6
Chester;Cotto ii;3
Chester;Crestio;4
Chester;Crestus i;5
Chester;Dontio;3
Chester;Felicio ii;2
Chester;Firmus ii;2
Chester;Flavius Avi- (Flavius Avitus)?;2
Chester;Frontinus;10
Chester;Fuscus ii;2
Chester;Iucundus iii;5
Chester;Iullinus i;3
Chester;L. Cosius;2
Chester;L. Ter- Secundus;3
Chester;L. Tr- Masculus;4
Chester;Labio;4
Chester;Libertus i;3
Chester;Manduilus;3
Chester;Masclinus;4
Chester;Memor;7
Chester;Mercator i (Mercatoris)?;3
Chester;Modestus i;2
Chester;Moi-;2
Chester;Mommo;3
Chester;Mont- Cres- (Montius Cres);2
Chester;Murranus i;2
Chester;Niger ii;2
Chester;Passenus (Passienus);8
Chester;Patricius i;25
Chester;Peregrinus i;2
