Bonn;Ardanus;3
Bonn;Bassinus i;2
Bonn;Bassus ii;28
Bonn;Bassus ii-Coelus;3
Bonn;Bassus iii;3
Bonn;Bilicatus (Bilicatos);4
Bonn;Bionis (Bio)?;7
Bonn;C. Iulius Vas- (C. Iul- Vas-);3
Bonn;C. N- Celsus;2
Bonn;C. Silvius Patricius;2
Bonn;Cantus;3
Bonn;Capito i;2
Bonn;Castus i;6
Bonn;Celsus ii;2
Bonn;Censor i;13
Bonn;Coelus ii;4
Bonn;Cosius Rufinus;2
Bonn;Cotto ii;5
Bonn;Crestio;7
Bonn;Crestus i;11
Bonn;Crispus iii;6
Bonn;Damonus;3
Bonn;Darra (Darrantus)?;4
Bonn;Dontio;6
Bonn;Felicio ii;2
Bonn;Felix i-Sev-;2
Bonn;Firmo ii;3
Bonn;Frontinus;17
Bonn;Fronto ii;4
Bonn;Fuscus i;2
Bonn;Fuscus i or ii;2
Bonn;Fuscus ii;5
Bonn;Geminus i;2
Bonn;Iucundus iii;13
Bonn;Iullinus i;3
Bonn;L. Ter- Secundus;2
Bonn;L. Tr- Masculus;7
Bonn;Labio;6
Bonn;Lucceius i;3
Bonn;Maccarus i;12
Bonn;Macer i;2
Bonn;Manduilus;4
Bonn;Mansuetus i (Masuetus);2
Bonn;Masclinus;3
Bonn;Memor;7
Bonn;Mercator i (Mercatoris)?;3
Bonn;Modestus i;6
Bonn;Moi-;3
Bonn;Mommo;7
Bonn;Mona-;2
Bonn;Mont- Cres- (Montius Cres);6
Bonn;Montanus i;6
Bonn;Murranus i;6
Bonn;Nenus (Nenius);2
Bonn;Nequres;2
Bonn;Niger ii;6
Bonn;Passenus (Passienus);14
Bonn;Patricius i;14
Bonn;Paullus iii;3
Bonn;Perrus (Perus);4
Bonn;Piperus;2
Bonn;Pontus (Pontius)?;5
Bonn;Primulus i;7
Bonn;Primus iii-Sco-;2
Bonn;Quartus iii;2
Bonn;Quintus iii;4
Bonn;Roppus i;2
Bonn;Rufinus iii;2
Bonn;Rufus iii;7
Bonn;Rusticus;4
Bonn;Salvetus i (Salve tu - Salve)?;7
Bonn;Scotnus;3
Bonn;Scottius i;10
Bonn;Secundinus i;2
Bonn;Secundus i;8
Bonn;Senicio;3
Bonn;Senomant-;3
Bonn;Severus iii;12
Bonn;Sextius Can- (Sex- Can-);3
Bonn;Silvanus i;2
Bonn;Silvinus ii;4
Bonn;Sulpicius;3
Bonn;Tertius ii;2
Bonn;Tertius iii;2
Bonn;Vapuso (Vapusus);4
Bonn;Verecundus ii;4
Bonn;Virilis ii;8
Bonn;Virtus i;2
Bonn;Vitalis i;3
Bonn;Vitalis ii;23
Bonn;Volus;2
Bonn;Calvus i;26
Bonn;Secundus ii;8
Bonn;Avitus ii;3
Bonn;Felix i;8
Bonn;Primus iii;15
Bonn;Silvius i;3
Bonn;Iucundus ii;3
Bonn;L. Cosius Virilis;10
Bonn;Masclus i (Masculus);3
Bonn;Sabinus iii;7
Bonn;Logirnus;5
Bonn;Primanus ii;2
Braughing;Licinus;3
Braughing;Passenus (Passienus);2
Braughing;Vitalis ii;2
Braughing;Logirnus;2
Brecon;Mercator i (Mercatoris)?;2
Brecon;Mommo;2
Brecon;Vitalis ii;4
Brecon;L. Cosius Virilis;2
Bregenz;Natalis i;2
Bregenz;Germanus i;5
Bregenz;Albinus ii;2
Bregenz;Ardacus ii;2
Bregenz;Balbus i;2
Bregenz;Bilicatus (Bilicatos);3
Bregenz;Cadmus;2
Bregenz;Cosius Rufinus;2
Bregenz;Frontinus;5
Bregenz;Iulius ii;2
Bregenz;Labio;4
Bregenz;Modestus i;2
Bregenz;Murranus i;2
Bregenz;Passenus (Passienus);2
Bregenz;Patricius i;4
Bregenz;Regenus;2
Bregenz;Salvetus i (Salve tu - Salve)?;4
Bregenz;Scottius i;6
Bregenz;Silanus;2
